(B-R)_corr;G_abs
-0.01290199673366546;1.6737567589466522
-0.013821994683265698;1.6796439156677465
-0.02193699339580535;1.3894736270558816
-0.0234390079154968;1.6060233810583586
-0.02695099966621399;0.9950414513477455
-0.03249099203681943;1.734068688886552
-0.03263099969005585;1.1399294154497976
-0.041291998378753664;1.427903267646144
-0.04219300157356262;1.1589541775094059
-0.0446010032544136;1.416287719084524
-0.04733000586509706;1.6303098143156003
-0.04842599867081642;0.4768623245509893
-0.05345600006407499;0.5164907206409346
-0.06575499948143959;0.8259462383344403
-0.07597299832510948;0.6671905544352033
-0.0868819986410141;0.7590575122122036
-0.09656299341964722;0.8647493431411952
-0.09691501296997068;1.3003231251745504
-0.12396599874830246;-0.14774444669789055
-0.13612200039339065;-0.4320637018700868
-0.1483760034570694;-2.0460527670942916
0.19178700056624412;2.239047109074745
0.25029099961555;2.3729648025689247
0.27953600059902667;2.421643599325604
0.2886109989688396;2.4365994176094183
0.31302100056028365;2.4750649589687406
0.351146999165535;2.596559064918692
0.38291599997625125;2.643817770126729
0.3946320002592802;2.647953404132231
0.4014220022172928;2.7021693433806
0.4075190000834465;2.1773683643457282
0.4524930009417534;2.4713143154543893
0.49075999308586116;3.0089919438245953
0.5171139992460012;3.0400873127102166
0.5226389995678663;3.2291464168209973
0.5416249999918044;3.219050432385991
0.5505650008761883;3.262955892234128
0.5569779962806701;3.102667297656705
0.5600840015258788;7.603664972265795
0.574268002503395;3.7459785066117455
0.6182799998539686;3.5262995891461806
0.626930999821186;3.6238562601977033
0.6292010012516975;3.6700238158759486
0.6343569998278916;3.625703770155754
0.6428880000119209;3.706127295553996
0.6471030015616417;3.7037224159352053
0.6553399999988824;3.4453614899001934
0.6686839995231628;4.019035124910225
0.6690079991953373;4.027648857930819
0.6750680003054738;3.8943982550005227
0.7049419972701073;4.077300802171152
0.7098819880313874;3.878583514986799
0.7202550007867813;4.239502900536898
0.729457000205636;4.033288139367757
0.7330889999525025;4.253440124309895
0.7339349988973141;4.377373314701012
0.7530919991834164;4.482321229645251
0.7547009989032746;4.368071720349267
0.7594559879837035;4.36125600386017
0.7617929988853931;4.485780311430256
0.7670300037908554;4.617695496821547
0.7692969983072281;4.504168451079078
0.7715630009298324;4.6978137078202025
0.776972000846386;4.677262359017547
0.7779670033020973;4.722323037538715
0.778144001591444;4.559402124045343
0.7813579999403953;3.9258341911442773
0.7850039773025514;6.146103985696769
0.7853190021338463;4.806656522831442
0.786199999243021;4.667538452582042
0.7923619989271163;4.441037468014551
0.7928510000368804;4.5552021748796765
0.7930400000678003;4.55034095972832
0.7948839988734722;4.68005268286427
0.7962650016927719;4.554183926391598
0.797118003194809;4.884957500509806
0.7989959994099141;4.7327984101854295
0.7998130008225441;4.830302721594775
0.8203460062942505;5.193319145035574
0.8214299999715016;4.938676780714182
0.8257840028729438;4.94687664377507
0.8335189968647957;5.021427835774734
0.8359559780654908;5.087123914470844
0.8458840000059604;4.745345872234266
0.8575929945878983;4.904056520589078
0.86163800166893;5.107559963779146
0.880853003349781;5.2575241085950974
0.8846979996483326;5.1826756681639825
0.8886369979138373;5.213757900960129
0.889163002336502;5.335664143935594
0.8914870001356006;4.3947212545494985
0.9010649959468842;5.494294437562573
0.9011729967098236;5.2805075529852115
0.9095840212669373;5.6445269211038696
0.9150850123023986;5.943253441916182
0.9199170031352043;5.429703920269461
0.9201730013589859;5.440757694832882
0.9275100018000604;5.414704705725992
0.9450630003099441;5.615108227791744
0.9522539974966049;5.334103010424679
0.9576109999109655;5.205932666254377
0.9592059998569489;5.326640226812032
0.9693110131130218;5.977729203327314
0.9697659983906746;5.63300203770884
0.9708019991714953;5.55072751150621
0.9710540162124635;5.136699219910222
0.971822000190735;5.966811760240933
0.9728639986350536;5.479132320772354
0.9794120204086303;6.117266393241671
0.9823440050067902;4.592580023002721
0.983134999588728;4.637176834065629
0.9831989998986721;5.616611747797833
0.9846339974727631;5.4166356122578705
0.9898210102043152;5.037700483941643
0.9912120023722648;5.678159519477461
0.9961500021457672;5.493206672249139
1.011658999959767;5.626865127871129
1.0122550025510788;4.9676028429910595
1.0123109921798705;6.033929623595606
1.035302005197525;5.997575413145624
1.0449039973773957;5.88902924101661
1.0489840045776366;6.259030837990151
1.0593060160217285;6.421614625989669
1.0604789981939793;5.921938962850373
1.0705390005602837;5.963059039597248
1.0766399993205071;6.043189927216384
1.0767349616622925;6.637180234628499
1.0974639565124513;6.215517552892036
1.1117090020742417;6.15645514315888
1.129049001478195;6.52651640217028
1.1368609997496606;6.176614864999738
1.141754001859665;6.587718197125742
1.1478740007152557;6.542857741205575
1.1496990014066697;6.400894596067932
1.1576139925613402;6.606159906991188
1.1578730036597251;6.364850789647505
1.1637869995946883;6.443751272626141
1.1656540006914138;6.292528279412416
1.1726499984502792;6.398563055054153
1.1775629749183654;6.618725043424092
1.195599995470047;6.313077902715589
1.230897000268221;6.352340461674306
1.2325220136852264;6.778331969218511
1.2374819971628188;6.556002528601315
1.2390409933719635;6.723615000801333
1.2502010104427337;6.6198122207046275
1.2580500073432923;6.765744003314941
1.2624770113487245;6.709995082896635
1.2924529997138976;6.710298228370579
1.2986469963998795;6.750020207643635
1.3074269945878982;6.787090200695863
1.3262650274658203;6.800404416392865
1.3308349982357026;6.957829180862397
1.3730409983310699;6.96033984300986
1.3794659936103821;6.9657818220144865
1.3817789947309493;7.058503055274716
1.403307001037121;7.021348470619852
1.408115999511242;7.058629023432502
1.454278991941452;7.223485650167499
1.4677650028848648;7.17473014179903
1.4934549960422516;7.403928791743681
1.511214000667572;7.424443856729601
1.521657003361702;7.440885415079553
1.5221310003814696;7.4498439877387455
1.5441630005245208;7.379780772192438
1.5446800002861023;7.432449749718572
1.5515100009059906;7.500614068229
1.5599610094890595;7.465728368228843
1.5612869935150147;7.471131142054615
1.5643529963879585;7.513365626741592
1.5974389999046326;7.586976920941771
1.599731998664856;7.567694176157783
1.6047540056028367;7.574668876906898
1.6051139940395356;7.60320282418817
1.6153420061750412;7.662809750334452
1.6430369997854233;7.691737660860545
1.6504450065803529;7.780491535355148
1.6632829871253967;7.760871465586915
1.7064829994039536;7.806091672771068
1.7105720013113022;8.066540429182073
1.7525090052452086;7.964493073922199
1.758234995613098;7.925675076953343
1.7645310010132789;7.901398649779463
1.7825709966144563;8.032433015123107
1.7933260012874603;7.9622627277834965
1.808735998241663;7.9815641213794155
1.8197929941825866;8.0373890236379
1.8282190011563302;8.603276029033047
1.832854001692772;8.02343903378241
1.8361319936819076;8.306804787018105
1.836930994969368;8.020085338300103
1.8620049866485595;8.153395712739405
1.872282001168251;10.84865732092545
1.881285011062622;8.198125966341907
1.8847909931812286;8.238694047804728
1.8929529928951263;8.22286038157726
1.9132430104904175;8.330355420614282
1.922574992465973;8.040547249291688
1.942766995470047;8.245945597922953
1.944115009918213;8.367061694325274
1.949993012254715;8.75567871574348
1.9644150058174135;8.383880239032754
2.018004992656708;7.7893833746382555
2.0524220143527985;8.614680382908613
2.0526790007152558;8.7114642571778
2.0537140118732453;8.552296076901566
2.058739995326996;8.056689797110018
2.0602429978542327;8.839836185309093
2.0657359872207643;8.74061893583106
2.0678009878406525;8.851003235122946
2.0793099997615814;8.692712971293153
2.0858350110626223;8.767723062667097
2.0892489702453614;11.720882792427014
2.0892999917030335;11.904377125359392
2.1020140005722046;8.013761250205322
2.1047090034809113;8.504389629254588
2.1143810128269194;9.35937876649128
2.1272620220298766;11.536853983979915
2.1339890126838683;12.097499521121593
2.1356659992370606;8.879665136839826
2.1406090027656557;9.572968083998664
2.141170989891052;9.374737523394193
2.1412819871730804;8.872738331958967
2.143126002670288;8.815688254505693
2.1473359762535096;11.533184067048666
2.1478160137805937;8.966051915659461
2.1488990013828277;8.872328377034272
2.1524769853610994;8.785425267756038
2.1570380096321107;9.180329470514458
2.1585920107765197;8.151781915506337
2.1618100097751616;8.927283104789069
2.1631059923706055;8.916131486330203
2.1716630146865845;8.594938658189808
2.175864997329712;8.91270746218904
2.176191004005432;8.848892901152066
2.18162701039505;9.027356301943277
2.181722985551834;9.08087801461581
2.182485010681152;9.110307275227855
2.1921720063419343;8.990808216555056
2.192244004005432;8.977595473759447
2.1979939967575075;10.522204718472096
2.1992109909877775;9.119647875615243
2.1995649924182894;8.50191468153405
2.2010140116825103;9.094608537255608
2.2010730022888185;9.004675004943346
2.2102599918460846;8.454629719735593
2.2115629981880187;9.067222304949908
2.2140960020980835;8.82332418369572
2.222352013971329;9.032666088671869
2.22446699666214;8.990347318947922
2.232821994421005;9.148929231831783
2.2331629885082247;9.24419120090943
2.234610985742569;11.386021067052592
2.2429279903202057;9.16674820724637
2.251944008249283;8.880051780283775
2.2594490057697296;8.551770274566815
2.262359010919571;9.190422035352517
2.264646002002716;9.204697583932354
2.2651850142097474;8.506314841417336
2.2701979979019167;8.967104005508292
2.274100023555756;9.528339797648114
2.27416999628067;9.59854885723745
2.281532988555908;9.191480622646592
2.2820750024795533;9.316308285675728
2.2860980013828276;9.959570214991565
2.300365994277954;9.306683231975386
2.3026160121116637;9.774042679746461
2.306960011062622;9.475903742526082
2.3157460079631806;10.278616766184896
2.3201320101089475;9.490458566162202
2.3206950118732452;10.671440771873836
2.327820992465973;9.560075228454648
2.3292969970436097;8.705287348915935
2.3313599989032747;10.56501727020222
2.331778004386902;9.552842275376925
2.332410004482269;10.712399191930842
2.334767992752075;9.37848602056389
2.353698014400482;9.626663278316101
2.35530699461174;9.85982190995233
2.359604000715256;9.439580782312744
2.361856000619888;9.572743524713417
2.3634719958992005;9.453093369336461
2.3661189879837035;9.561623524217852
2.3680419935150145;11.932097333453084
2.376528981021881;8.930421029762009
2.378520002527237;9.444576280305352
2.3805640097751617;9.319041603832172
2.3868899906539918;9.79045298522275
2.3898960086307524;9.690788454488464
2.3906420090122222;9.550637401014054
2.3984050096321106;9.901957458434358
2.4007839802589417;11.557008288457677
2.4019740056266783;11.46161746395429
2.4034419933242797;9.676832724875613
2.40649999294281;9.963038906433258
2.4132839996185305;9.5625374286562
2.417721990797043;9.686961922486343
2.4235839808311463;9.373639668178347
2.4251600126838686;9.61124761898684
2.429648007724762;11.344130450079165
2.4300139829292298;9.60442626542919
2.4317549796867373;10.10276159495767
2.4400460101566313;10.15541648580674
2.440094994754791;10.199701609990068
2.440592988269806;9.173584794338803
2.442718992132187;9.81466333172954
2.442822000524521;9.904468456195797
2.4499300205039978;9.629994588547527
2.450148018310547;9.30320165777185
2.4514160086784362;10.124555473290723
2.4529580102996826;9.775337829452571
2.456661995803833;9.925092321345403
2.4601029866962434;9.756781294893646
2.460787000286102;9.937018736015183
2.4610410082969665;10.350122757027105
2.463865987220764;10.473003436282015
2.469172985790253;9.551490114014843
2.4694870134468077;11.054823833524761
2.470356012922287;10.965052246831027
2.471579010251999;10.027320620882417
2.473312970817566;9.47560598788019
2.477288011396408;9.913089758010138
2.4777750086307524;10.028821571629043
2.4808450259399413;9.991884928680987
2.485909992656708;10.431801432889479
2.486063015449524;9.790150704443063
2.488915020980835;10.551488785255604
2.4900270092983248;10.194194059175159
2.491633990081787;10.327008273583289
2.492211004005432;10.526975835288761
2.4939319913692475;10.21580958783178
2.4950319974250794;10.0571050677479
2.4968420018119812;10.776430883162751
2.497782986553192;10.143371549398312
2.498579997854233;10.817161481035853
2.4990659863147737;10.332941150746333
2.5000000106334688;10.375917830700594
2.5008979858379363;10.22839139046564
2.5053779851703646;10.708953897126115
2.510909001716614;10.787130569080063
2.5127750146389007;9.99832144151689
2.51912402822876;9.787066189061976
2.522178001192093;10.038679064164777
2.5222090117301943;10.028025022376122
2.5234389775886537;10.318455725109862
2.524484003528595;10.285633264652608
2.524791028896332;9.507199962522495
2.525057987602234;9.646320868192579
2.528495002336502;9.51757465227746
2.5294950035762787;10.140536325190624
2.5303450091552735;10.65549928732953
2.5325439989509584;10.89357770063306
2.5331529974250793;9.494402939929437
2.5359140010490417;10.061544456322999
2.5362030089645384;9.753321345239824
2.537986005340576;9.593800974553695
2.5420260131130217;9.997226519862254
2.5423110102996826;10.131995064022416
2.5437439950885774;10.745262335447016
2.5469700061035154;10.559399148599205
2.54704798922348;10.361997883757958
2.550573011444092;10.723655953975278
2.5559339839782713;9.631357103027696
2.555994981689453;10.231111666193996
2.5647319853134154;10.363506422268712
2.568011987030029;10.118088822561685
2.5681509869346617;10.652343479517139
2.5683580048160555;10.21650523769071
2.5710950114917757;10.495190160555172
2.572028999523163;10.33205525929381
2.5747949738693237;10.745744784221563
2.579229004529953;10.178353322417122
2.581832001525879;10.434037154192149
2.5857040133991243;10.771894351306672
2.586860000333786;11.67240166991677
2.587970006389618;10.75896443204757
2.5900229962806702;10.787557788841982
2.592272004863739;10.317060316211814
2.592303009775162;10.513503459648181
2.5927639909877778;10.29116979450099
2.594710011396408;11.03201150217017
2.596673994325638;10.358314706867368
2.597801001859665;10.60477902826211
2.6104520069141386;11.171850370730972
2.6153120133514403;10.56202026136527
2.6164920108242034;10.034424159033666
2.6177389901771546;10.059416974768563
2.6188479908447264;10.428660253983269
2.6193810054359434;10.033627206030882
2.6210889891757967;10.848319953117185
2.6211890001907348;10.99775197713993
2.6239680117301942;10.348623433460707
2.625280991607666;10.66163301359028
2.62605999666214;10.585393171327475
2.629322995470047;10.37647324098832
2.630880980068207;10.26297358226752
2.6371980058174134;10.526267804482488
2.637572996805191;10.907632331183137
2.638184028800964;10.599564933269935
2.63858400834465;10.44893776210017
2.642980006341934;10.740898072770182
2.6500500180244444;10.77199376767409
2.65475299628067;10.709128870969526
2.6555610109672547;10.861366731660093
2.6575299907493592;10.033053997721542
2.6576650124931334;10.569156279373177
2.6601490014305114;11.07002605923975
2.66328198793602;10.50500554339175
2.6640460056266786;10.489900157690776
2.666350009059906;9.840790740344158
2.668262012111664;10.527590531176173
2.6775050037670134;11.017261017839786
2.680532995422363;11.026541625029719
2.683858009250641;11.381180663073046
2.6866250025749205;11.754381098490555
2.687153022315979;11.365420449117625
2.6879600142097475;11.203633490935092
2.688152008058548;12.163649148424089
2.691338998664856;10.967754511718802
2.6955839942779543;11.954535583333213
2.6971920103473663;11.16134675454565
2.69883401077652;11.04548220218581
2.7028379927520754;10.540304533763917
2.703038013780594;10.963140780485155
2.704451985265732;11.167807415670486
2.709637007247925;10.65725077960047
2.711076006008148;11.138248704884205
2.7118969764442444;11.098223920105186
2.7171289969482424;12.181931451342063
2.717892998092651;10.818616650194903
2.7198829837875365;10.66249534134109
2.720214992275238;10.987506766736352
2.7291050081539154;10.642238019854734
2.7324460246047972;10.432528098228351
2.7355510112056733;11.16159532067112
2.737686990034103;10.972909278485538
2.7383060111579893;11.172537670705053
2.744193990272522;11.117837199677258
2.744476999141693;10.998905496463427
2.744491999856949;12.040851116126174
2.7454320261306764;10.703098436420571
2.747963008773804;10.74698490867422
2.749500025844574;10.718524784208395
2.7503690033378603;11.234251605305992
2.750500987411499;11.165555060840344
2.7567099970912934;11.03225901869895
2.7571150250816343;10.310399793535833
2.7579749751091005;11.145432154914658
2.759020018119812;11.399367332426214
2.761764009059906;11.447172164770414
2.765398022029877;10.601454861957613
2.768679989128113;11.132312568566444
2.768945005531311;11.578970784753835
2.78345201411438;11.12080967278962
2.7839599957084658;10.871629073255452
2.78494700834465;11.825445783356852
2.794059990463257;11.091397936564405
2.8048650106334687;11.064493392822428
2.80564200705719;12.054052339422775
2.806786013113022;10.997727285419824
2.806937995326996;11.706459930166183
2.80753802822876;11.573140806983826
2.807843992275238;11.138829468507087
2.8185369881744387;11.644721137785197
2.8224520000953675;13.213513440827917
2.8327879937057494;11.741722644865664
2.8358700116348268;11.613539426284474
2.839778997806549;11.153207773442569
2.8479979880313873;11.37534309954811
2.85249902784729;11.32713217591149
2.853813984836578;11.343618187101358
2.854132973011017;11.344021785605829
2.863503989557266;11.401790893027039
2.866182999141693;11.294062704704238
2.8668840044822694;11.149855854359
2.8690580069618226;11.261139172124683
2.871189012207031;11.54594506062696
2.8762400037074087;13.117517983571977
2.8773820143527984;11.3921945397549
2.890399989080429;11.096370811387377
2.892140974155426;11.08565068599587
2.892560004005432;11.464991800448784
2.894460987459183;11.59624783120215
2.8960990036239624;11.519706586708864
2.913803;11.482181210411035
2.9331729866485596;11.466507677252554
2.936349985265732;11.366022418024777
2.9452250116825103;11.478392194865878
2.9643450141143797;11.568629586374367
2.964959012779236;10.775287129982061
2.965599000524521;11.920002646496641
3.0000660032901765;11.669712764307047
3.018375993276596;12.369421636319199
3.0240979792099;11.665186366837972
3.042640999332428;11.473025183564744
3.059211976825714;11.245183964157174
3.06692797177124;11.499345912563744
3.0940400130653383;12.699670515307924
3.2506940242233275;11.726440823846048
3.290518000214577;12.587176291352774
3.4269530054597857;12.997693946797257
3.4482189937057495;12.360964755329526
3.4698510051021576;12.544900041801178
3.4889789938488005;11.957971795253945